question_id,block,block_name,question_text,original_column
V05,V,Environment,Single-use plastics should be significantly restricted.,V05. Single-use plastics should be significantly restricted.
V06,V,Environment,"Water conservation should be a priority in households, institutions, and industries.","V06. Water conservation should be a priority in households, institutions, and industries."
V07,V,Environment,Protecting biodiversity is essential for long-term human well-being.,V07. Protecting biodiversity is essential for long-term human well-being.
V08,V,Environment,Universities should adopt environmentally sustainable campus practices even if implementation costs increase.,V08. Universities should adopt environmentally sustainable campus practices even if implementation costs increase.
V09,V,Environment,"Products should be designed to encourage reuse, repair, and recycling.","V09. Products should be designed to encourage reuse, repair, and recycling."
V10,V,Environment,Consumers should consider environmental impact when purchasing products.,V10. Consumers should consider environmental impact when purchasing products.
V11,V,Environment,Technological innovation is essential for addressing environmental challenges.,V11. Technological innovation is essential for addressing environmental challenges.
V12,V,Environment,Environmental sustainability should be integrated into higher education curricula.,V12. Environmental sustainability should be integrated into higher education curricula.
V13,V,Environment,Companies should be held accountable for the environmental impacts of their activities.,V13. Companies should be held accountable for the environmental impacts of their activities.
V14,V,Environment,International cooperation is necessary to effectively address environmental challenges.,V14. International cooperation is necessary to effectively address environmental challenges.
V15,V,Environment,Current generations have a responsibility to protect natural resources for future generations.,V15. Current generations have a responsibility to protect natural resources for future generations.
